time ,tube,strain,formaldehyde_original,NashA412,standard_curve,formaldehyde_nash
0,1,CM2730,5,0.72,A,4.84224
0,2,CM3745,5,0.697,A,4.673374
0,3,CM2730,7.5,NS,NS,6.325324
0,4,CM3745,7.5,0.922,A,6.325324
0,5,CM2730,10,1.488,A,10.480896
0,6,CM3745,10,1.474,A,10.378108
0,7,CM2730,12.5,1.92,A,13.65264
0,8,CM3745,12.5,1.96,A,13.94632
0,9,CM2730,15,2.037,A,14.511654
0,10,CM3745,15,2.248,A,16.060816
0,11,CM2730,20,2.617,A,18.770014
0,12,CM3745,20,2.989,A,21.501238
60,1,CM2730,5,0.744,A,5.018448
60,2,CM3745,5,0.577,A,3.792334
60,3,CM2730,7.5,1.094,A,7.588148
60,4,CM3745,7.5,1.015,A,7.00813
60,5,CM2730,10,1.513,A,10.664446
60,6,CM3745,10,1.524,A,10.745208
60,7,CM2730,12.5,1.849,A,13.131358
60,8,CM3745,12.5,2.026,A,14.430892
60,9,CM2730,15,2.252,A,16.090184
60,10,CM3745,15,2.311,A,16.523362
60,11,CM2730,20,2.604,A,18.674568
60,12,CM3745,20,2.959,A,21.280978
120,1,CM2730,5,0.719,A,4.834898
120,2,CM3745,5,0.465,A,2.97003
120,3,CM2730,7.5,1.104,A,7.661568
120,4,CM3745,7.5,0.991,A,6.831922
120,5,CM2730,10,1.499,A,10.561658
120,6,CM3745,10,1.53,A,10.78926
120,7,CM2730,12.5,1.897,A,13.483774
120,8,CM3745,12.5,1.977,A,14.071134
120,9,CM2730,15,2.249,A,16.068158
120,10,CM3745,15,2.282,A,16.310444
120,11,CM2730,20,2.762,A,19.834604
120,12,CM3745,20,2.94,A,21.14148
180,1,CM2730,5,0.64,A,4.25488
180,2,CM3745,5,0.328,A,1.964176
180,3,CM2730,7.5,1.084,A,7.514728
180,4,CM3745,7.5,0.854,A,5.826068
180,5,CM2730,10,1.523,A,10.737866
180,6,CM3745,10,1.528,A,10.774576
180,7,CM2730,12.5,1.856,A,13.182752
180,8,CM3745,12.5,1.892,A,13.447064
180,9,CM2730,15,2.218,A,15.840556
180,10,CM3745,15,2.215,A,15.81853
180,11,CM2730,20,2.713,A,19.474846
180,12,CM3745,20,2.903,A,20.869826
20,1,CM2730,5,0.65,B,5.046
20,2,CM3745,5,NS,NS,NS
20,3,CM2730,7.5,1.028,B,7.87344
20,4,CM3745,7.5,NS,NS,NS
40,1,CM2730,5,0.647,B,5.02356
40,2,CM3745,5,0.278,B,2.26344
40,3,CM2730,7.5,0.975,B,7.477
40,4,CM3745,7.5,0.881,B,6.77388
80,1,CM2730,5,0.619,B,4.81412
80,2,CM3745,5,0.226,B,1.87448
80,3,CM2730,7.5,0.948,B,7.27504
80,4,CM3745,7.5,0.784,B,6.04832
100,1,CM2730,5,0.565,B,4.4102
100,2,CM3745,5,0.224,B,1.85952
100,3,CM2730,7.5,0.973,B,7.46204
100,4,CM3745,7.5,0.732,B,5.65936
140,1,CM2730,5,0.529,B,4.14092
140,2,CM3745,5,0.235,B,1.9418
140,3,CM2730,7.5,0.94,B,7.2152
140,4,CM3745,7.5,0.702,B,5.43496
160,1,CM2730,5,NS,NS,1.44812
160,2,CM3745,5,0.169,B,1.44812
160,3,CM2730,7.5,0.932,B,7.15536
160,4,CM3745,7.5,0.673,B,5.21804
720,1,CM2730,5,0.667,C,4.908556
720,2,CM3745,5,-0.01,C,-0.28268
720,3,CM2730,7.5,1.063,C,7.945084
720,4,CM3745,7.5,0.047,C,0.154396
720,5,CM2730,10,1.343,C,10.092124
720,6,CM3745,10,1.381,C,10.383508
720,7,CM2730,12.5,1.672,C,12.614896
720,8,CM3745,12.5,1.785,C,13.48138
720,9,CM2730,15,1.919,C,14.508892
720,10,CM3745,15,2.031,C,15.367708
720,11,CM2730,20,2.314,C,17.537752
720,12,CM3745,20,2.736,C,20.773648
1500,1,CM2730,5,0.265,C,1.82602
1500,2,CM3745,5,-0.027,C,-0.413036
1500,3,CM2730,7.5,1.043,C,7.791724
1500,4,CM3745,7.5,-0.023,C,-0.382364
1500,5,CM2730,10,1.335,C,10.03078
1500,6,CM3745,10,1.386,C,10.421848
1500,7,CM2730,12.5,1.794,C,13.550392
1500,8,CM3745,12.5,1.772,C,13.381696
1500,9,CM2730,15,1.932,C,14.608576
1500,10,CM3745,15,2.057,C,15.567076
1500,11,CM2730,20,2.316,C,17.553088
1500,12,CM3745,20,2.628,C,19.945504
