time,formaldehyde_original,cells,strain
0,5,9.10E+07,CM3745
0,7.5,4.90E+07,CM3745
0,10,4.70E+07,CM3745
0,12.5,5.00E+07,CM3745
0,15,5.30E+07,CM3745
0,20,5.00E+07,CM3745
20,5,1.10E+08,CM3745
20,7.5,7.30E+07,CM3745
20,10,6.20E+08,CM3745
20,12.5,2.50E+07,CM3745
20,15,2.20E+07,CM3745
20,20,1.10E+07,CM3745
40,5,7.30E+07,CM3745
40,7.5,5.50E+07,CM3745
40,10,1.70E+07,CM3745
40,12.5,1.70E+07,CM3745
40,15,1.00E+07,CM3745
40,20,5.50E+06,CM3745
60,5,7.30E+07,CM3745
60,7.5,4.40E+07,CM3745
60,10,1.50E+07,CM3745
60,12.5,3.20E+06,CM3745
60,15,6.20E+05,CM3745
60,20,5.50E+03,CM3745
80,5,1.30E+08,CM3745
80,7.5,3.40E+07,CM3745
80,10,9.10E+06,CM3745
80,12.5,1.80E+05,CM3745
80,15,6.40E+04,CM3745
80,20,1.10E+03,CM3745
100,5,1.40E+08,CM3745
100,7.5,2.70E+07,CM3745
100,10,1.40E+06,CM3745
100,12.5,1.00E+06,CM3745
100,15,1.30E+04,CM3745
100,20,1.80E+02,CM3745
120,5,1.40E+08,CM3745
120,7.5,1.90E+07,CM3745
120,10,4.50E+05,CM3745
120,12.5,1.50E+04,CM3745
120,15,3.60E+03,CM3745
120,20,0.00E+00,CM3745
140,5,7.30E+07,CM3745
140,7.5,5.50E+07,CM3745
140,10,1.20E+05,CM3745
140,12.5,1.00E+04,CM3745
140,15,3.70E+03,CM3745
140,20,9.10E+01,CM3745
160,5,2.50E+08,CM3745
160,7.5,2.90E+07,CM3745
160,10,2.50E+05,CM3745
160,12.5,1.10E+04,CM3745
160,15,2.70E+03,CM3745
160,20,0.00E+00,CM3745
180,5,1.60E+08,CM3745
180,7.5,4.00E+07,CM3745
180,10,2.00E+05,CM3745
180,12.5,7.30E+03,CM3745
180,15,2.50E+03,CM3745
180,20,0.00E+00,CM3745
0,5,4.50E+07,CM2730
0,7.5,1.00E+08,CM2730
0,10,1.00E+08,CM2730
0,12.5,9.10E+07,CM2730
0,15,4.50E+07,CM2730
0,20,8.20E+07,CM2730
20,5,7.30E+07,CM2730
20,7.5,1.40E+08,CM2730
20,10,6.40E+07,CM2730
20,12.5,2.50E+07,CM2730
20,15,3.60E+07,CM2730
20,20,3.10E+07,CM2730
40,5,7.30E+07,CM2730
40,7.5,9.10E+07,CM2730
40,10,8.20E+07,CM2730
40,12.5,2.80E+07,CM2730
40,15,1.40E+07,CM2730
40,20,2.20E+06,CM2730
60,5,1.10E+08,CM2730
60,7.5,3.60E+07,CM2730
60,10,2.90E+07,CM2730
60,12.5,7.30E+06,CM2730
60,15,6.40E+05,CM2730
60,20,1.20E+05,CM2730
80,5,5.50E+07,CM2730
80,7.5,3.50E+07,CM2730
80,10,8.20E+06,CM2730
80,12.5,3.10E+06,CM2730
80,15,1.80E+05,CM2730
80,20,4.60E+03,CM2730
100,5,3.00E+07,CM2730
100,7.5,1.70E+07,CM2730
100,10,2.10E+06,CM2730
100,12.5,2.00E+05,CM2730
100,15,2.80E+03,CM2730
100,20,2.70E+02,CM2730
120,5,2.60E+07,CM2730
120,7.5,4.10E+06,CM2730
120,10,2.30E+05,CM2730
120,12.5,2.80E+04,CM2730
120,15,7.30E+02,CM2730
120,20,1.80E+02,CM2730
140,5,1.40E+07,CM2730
140,7.5,1.30E+06,CM2730
140,10,1.00E+04,CM2730
140,12.5,3.00E+03,CM2730
140,15,1.80E+02,CM2730
140,20,0.00E+00,CM2730
160,5,1.40E+07,CM2730
160,7.5,1.10E+05,CM2730
160,10,2.80E+03,CM2730
160,12.5,1.00E+03,CM2730
160,15,0.00E+00,CM2730
160,20,0.00E+00,CM2730
180,5,4.80E+06,CM2730
180,7.5,3.80E+04,CM2730
180,10,1.00E+03,CM2730
180,12.5,1.80E+02,CM2730
180,15,0.00E+00,CM2730
180,20,0.00E+00,CM2730
